Afghanistan,"1,885"
Albania,708
Algeria,800
Andorra,"1,996"
Angola,"1,112"
Antarctica,"2,300"
Argentina,595
Armenia,"1,792"
Australia,330
Austria,910
Belarus,170
Belgium,181
Belize,173
Bhutan,"2,220"
Bolivia,"1,192"
Bosnia and Herzegovina,500
Botswana,"1,013"
Brazil,320
Bulgaria,470
Cambodia,126
Cameroon,667
Canada,487
Chad,543
Chile,"1,870"
China,"1,840"
Colombia,593
Costa Rica,746
Croatia,331
Cuba,108
Cyprus,91
Czechia,433
Denmark,34
Dominican Republic,424
Ecuador,"1,117"
Egypt,321
El Salvador,442
Estonia,61
Equatorial Guinea,577
Eritrea,853
Ethiopia,"1,330"
Finland,164
France,375
French Guiana,168
Gabon,377
Gambia,34
Georgia,"1,432"
Germany,263
Ghana,190
Greece,498
Greenland,"1,792"
Guatemala,759
Guinea,472
Guinea-Bissau,70
Guyana,207
Haiti,470
Honduras,684
Hungary,143
Iceland,557
India,621
Indonesia,367
Iran,"1,305"
Iraq,312
Ireland,118
Israel,508
Italy,538
Ivory Coast,250
Jamaica,340
Japan,438
Jordan,920
Kazakhstan,387
Kenya,762
Kosovo,800
Kuwait,108
Kyrgyzstan,"2,988"
Latvia,87
Laos,710
Lebanon,"1,250"
Lesotho,"2,161"
Liberia,243
Libya,423
Lithuania,110
Luxembourg,325
Madagascar,442
Malawi,779
Malaysia,538
Maldives,1.8
Mali,343
Mauritania,276
Mexico,"1,111"
Moldova,139
Mongolia,"1,528"
Montenegro,"1,086"
Morocco,909
Mozambique,345
Myanmar,702
Namibia,"1,141"
  Nepal,"3,265"
Netherlands,30
New Zealand,388
Nicaragua,298
Niger,474
Nigeria,380
North Korea,400
North Macedonia,741
Norway,460
Oman,310
Pakistan,900
Panama,360
Papua New Guinea,667
Paraguay,178
Peru,"1,555"
Philippines,442
Poland,173
Portugal,372
Qatar,28
Romania,414
Rwanda,"1,598"
Russia,600
Saudi Arabia,665
Senegal,69
Serbia,473
Sierra Leone,279
Singapore,15
Slovakia,458
Slovenia,492
Somalia,410
South Africa,"1,034"
South Korea,282
Spain,660
Sri Lanka,228
Sudan,568
Suriname,246
Eswatini (Swaziland),305
Sweden,320
 Switzerland,"1,350"
Syria,514
Tajikistan,"3,186"
Taiwan,"1,150"
Tanzania,"1,018"
Thailand,287
Togo,236
Trinidad and Tobago,83
Tunisia,246
Turkey,"1,132"
Turkmenistan,230
Uganda,"1,100"
Ukraine,175
United Arab Emirates,149
United Kingdom,162
United States,760
Uruguay,109
Uzbekistan,450
Venezuela,450
Vietnam,398
Western Sahara,256
Yemen,999
Zambia,"1,138"
Zimbabwe,961
